Using device:  cuda

Epoch 1/100: train_loss: 0.14591 | test_loss: 0.08654 | epoch_time: 25.98 sec
Epoch 2/100: train_loss: 0.11017 | test_loss: 0.08036 | epoch_time: 25.72 sec
Epoch 3/100: train_loss: 0.10467 | test_loss: 0.07690 | epoch_time: 25.74 sec
Epoch 4/100: train_loss: 0.10079 | test_loss: 0.07262 | epoch_time: 25.74 sec
Epoch 5/100: train_loss: 0.09734 | test_loss: 0.07073 | epoch_time: 25.76 sec
Epoch 6/100: train_loss: 0.09429 | test_loss: 0.06932 | epoch_time: 25.74 sec
Epoch 7/100: train_loss: 0.09128 | test_loss: 0.06812 | epoch_time: 25.75 sec
Epoch 8/100: train_loss: 0.08830 | test_loss: 0.06491 | epoch_time: 25.74 sec
Epoch 9/100: train_loss: 0.08573 | test_loss: 0.06233 | epoch_time: 25.90 sec
Epoch 10/100: train_loss: 0.08331 | test_loss: 0.05985 | epoch_time: 25.72 sec
Epoch 11/100: train_loss: 0.08119 | test_loss: 0.06017 | epoch_time: 25.88 sec
Epoch 12/100: train_loss: 0.07930 | test_loss: 0.05932 | epoch_time: 25.72 sec
Epoch 13/100: train_loss: 0.07749 | test_loss: 0.05738 | epoch_time: 25.91 sec
Epoch 14/100: train_loss: 0.07569 | test_loss: 0.05625 | epoch_time: 25.72 sec
Epoch 15/100: train_loss: 0.07412 | test_loss: 0.05524 | epoch_time: 25.76 sec
Epoch 16/100: train_loss: 0.07252 | test_loss: 0.05389 | epoch_time: 25.73 sec
Epoch 17/100: train_loss: 0.07107 | test_loss: 0.05373 | epoch_time: 25.88 sec
Epoch 18/100: train_loss: 0.06985 | test_loss: 0.05300 | epoch_time: 25.76 sec
Epoch 19/100: train_loss: 0.06841 | test_loss: 0.05170 | epoch_time: 25.74 sec
Epoch 20/100: train_loss: 0.06708 | test_loss: 0.05146 | epoch_time: 25.75 sec
Epoch 21/100: train_loss: 0.06601 | test_loss: 0.05084 | epoch_time: 25.89 sec
Epoch 22/100: train_loss: 0.06489 | test_loss: 0.05125 | epoch_time: 25.73 sec
Epoch 23/100: train_loss: 0.06373 | test_loss: 0.04897 | epoch_time: 26.41 sec
Epoch 24/100: train_loss: 0.06264 | test_loss: 0.04901 | epoch_time: 25.73 sec
Epoch 25/100: train_loss: 0.06167 | test_loss: 0.04977 | epoch_time: 25.90 sec
Epoch 26/100: train_loss: 0.06084 | test_loss: 0.04924 | epoch_time: 25.74 sec
Epoch 27/100: train_loss: 0.05984 | test_loss: 0.04907 | epoch_time: 25.75 sec
Epoch 28/100: train_loss: 0.05898 | test_loss: 0.04828 | epoch_time: 25.77 sec
Epoch 29/100: train_loss: 0.05814 | test_loss: 0.04975 | epoch_time: 25.76 sec
Epoch 30/100: train_loss: 0.05733 | test_loss: 0.04719 | epoch_time: 25.76 sec
Epoch 31/100: train_loss: 0.05639 | test_loss: 0.04620 | epoch_time: 25.74 sec
Epoch 32/100: train_loss: 0.05565 | test_loss: 0.04636 | epoch_time: 25.90 sec
Epoch 33/100: train_loss: 0.05487 | test_loss: 0.04499 | epoch_time: 25.74 sec
Epoch 34/100: train_loss: 0.05418 | test_loss: 0.04527 | epoch_time: 25.75 sec
Epoch 35/100: train_loss: 0.05352 | test_loss: 0.04461 | epoch_time: 25.73 sec
Epoch 36/100: train_loss: 0.05284 | test_loss: 0.04578 | epoch_time: 25.76 sec
Epoch 37/100: train_loss: 0.05222 | test_loss: 0.04543 | epoch_time: 25.74 sec
Epoch 38/100: train_loss: 0.05158 | test_loss: 0.04504 | epoch_time: 25.74 sec
Epoch 39/100: train_loss: 0.05100 | test_loss: 0.04403 | epoch_time: 25.77 sec
Epoch 40/100: train_loss: 0.05045 | test_loss: 0.04437 | epoch_time: 25.74 sec
Epoch 41/100: train_loss: 0.04983 | test_loss: 0.04418 | epoch_time: 25.76 sec
Epoch 42/100: train_loss: 0.04931 | test_loss: 0.04481 | epoch_time: 25.76 sec
Epoch 43/100: train_loss: 0.04892 | test_loss: 0.04702 | epoch_time: 25.75 sec
Epoch 44/100: train_loss: 0.04855 | test_loss: 0.04407 | epoch_time: 25.75 sec
Epoch 45/100: train_loss: 0.04786 | test_loss: 0.04501 | epoch_time: 25.91 sec
Epoch 46/100: train_loss: 0.04632 | test_loss: 0.04118 | epoch_time: 25.74 sec
Epoch 47/100: train_loss: 0.04592 | test_loss: 0.04029 | epoch_time: 25.76 sec
Epoch 48/100: train_loss: 0.04561 | test_loss: 0.04091 | epoch_time: 25.76 sec
Epoch 49/100: train_loss: 0.04539 | test_loss: 0.04041 | epoch_time: 25.75 sec
Epoch 50/100: train_loss: 0.04510 | test_loss: 0.04047 | epoch_time: 25.89 sec
Epoch 51/100: train_loss: 0.04485 | test_loss: 0.03988 | epoch_time: 25.74 sec
Epoch 52/100: train_loss: 0.04456 | test_loss: 0.04029 | epoch_time: 25.76 sec
Epoch 53/100: train_loss: 0.04435 | test_loss: 0.04015 | epoch_time: 25.73 sec
Epoch 54/100: train_loss: 0.04415 | test_loss: 0.03950 | epoch_time: 25.91 sec
Epoch 55/100: train_loss: 0.04378 | test_loss: 0.03978 | epoch_time: 25.75 sec
Epoch 56/100: train_loss: 0.04355 | test_loss: 0.03942 | epoch_time: 25.96 sec
Epoch 57/100: train_loss: 0.04327 | test_loss: 0.03887 | epoch_time: 25.74 sec
Epoch 58/100: train_loss: 0.04307 | test_loss: 0.03944 | epoch_time: 26.01 sec
Epoch 59/100: train_loss: 0.04284 | test_loss: 0.03921 | epoch_time: 25.73 sec
Epoch 60/100: train_loss: 0.04262 | test_loss: 0.04011 | epoch_time: 25.91 sec
Epoch 61/100: train_loss: 0.04235 | test_loss: 0.03955 | epoch_time: 25.76 sec
Epoch 62/100: train_loss: 0.04220 | test_loss: 0.03927 | epoch_time: 25.76 sec
Epoch 63/100: train_loss: 0.04196 | test_loss: 0.03933 | epoch_time: 25.75 sec
Epoch 64/100: train_loss: 0.04103 | test_loss: 0.03784 | epoch_time: 25.75 sec
Epoch 65/100: train_loss: 0.04089 | test_loss: 0.03772 | epoch_time: 25.76 sec
Epoch 66/100: train_loss: 0.04079 | test_loss: 0.03738 | epoch_time: 25.74 sec
Epoch 67/100: train_loss: 0.04072 | test_loss: 0.03775 | epoch_time: 25.76 sec
Epoch 68/100: train_loss: 0.04060 | test_loss: 0.03739 | epoch_time: 25.76 sec
Epoch 69/100: train_loss: 0.04042 | test_loss: 0.03793 | epoch_time: 25.75 sec
Epoch 70/100: train_loss: 0.04034 | test_loss: 0.03802 | epoch_time: 25.75 sec
Epoch 71/100: train_loss: 0.04023 | test_loss: 0.03772 | epoch_time: 25.91 sec
Epoch 72/100: train_loss: 0.04006 | test_loss: 0.03756 | epoch_time: 25.74 sec
Epoch 73/100: train_loss: 0.03958 | test_loss: 0.03714 | epoch_time: 25.91 sec
Epoch 74/100: train_loss: 0.03950 | test_loss: 0.03709 | epoch_time: 25.75 sec
