Using device:  cuda

Epoch 1/100: train_loss: 0.13849 | test_loss: 0.08753 | epoch_time: 86.22 sec
Epoch 2/100: train_loss: 0.10982 | test_loss: 0.07953 | epoch_time: 85.69 sec
Epoch 3/100: train_loss: 0.10267 | test_loss: 0.07413 | epoch_time: 85.69 sec
Epoch 4/100: train_loss: 0.09690 | test_loss: 0.06892 | epoch_time: 85.66 sec
Epoch 5/100: train_loss: 0.09226 | test_loss: 0.06558 | epoch_time: 85.66 sec
Epoch 6/100: train_loss: 0.08884 | test_loss: 0.06577 | epoch_time: 85.72 sec
Epoch 7/100: train_loss: 0.08603 | test_loss: 0.06509 | epoch_time: 85.60 sec
Epoch 8/100: train_loss: 0.08338 | test_loss: 0.06090 | epoch_time: 85.67 sec
Epoch 9/100: train_loss: 0.08122 | test_loss: 0.05759 | epoch_time: 85.66 sec
Epoch 10/100: train_loss: 0.07920 | test_loss: 0.05649 | epoch_time: 85.64 sec
Epoch 11/100: train_loss: 0.07734 | test_loss: 0.05668 | epoch_time: 85.63 sec
Epoch 12/100: train_loss: 0.07577 | test_loss: 0.05520 | epoch_time: 85.66 sec
Epoch 13/100: train_loss: 0.07412 | test_loss: 0.05520 | epoch_time: 85.64 sec
Epoch 14/100: train_loss: 0.07252 | test_loss: 0.05356 | epoch_time: 85.66 sec
Epoch 15/100: train_loss: 0.07109 | test_loss: 0.05217 | epoch_time: 85.75 sec
Epoch 16/100: train_loss: 0.06954 | test_loss: 0.05089 | epoch_time: 85.80 sec
Epoch 17/100: train_loss: 0.06814 | test_loss: 0.05122 | epoch_time: 85.75 sec
Epoch 18/100: train_loss: 0.06704 | test_loss: 0.05086 | epoch_time: 85.77 sec
Epoch 19/100: train_loss: 0.06563 | test_loss: 0.04931 | epoch_time: 85.79 sec
Epoch 20/100: train_loss: 0.06433 | test_loss: 0.04936 | epoch_time: 85.76 sec
Epoch 21/100: train_loss: 0.06324 | test_loss: 0.04823 | epoch_time: 85.73 sec
Epoch 22/100: train_loss: 0.06214 | test_loss: 0.04844 | epoch_time: 85.68 sec
Epoch 23/100: train_loss: 0.06102 | test_loss: 0.04687 | epoch_time: 85.70 sec
Epoch 24/100: train_loss: 0.05999 | test_loss: 0.04666 | epoch_time: 85.66 sec
Epoch 25/100: train_loss: 0.05901 | test_loss: 0.04740 | epoch_time: 85.65 sec
Epoch 26/100: train_loss: 0.05828 | test_loss: 0.04710 | epoch_time: 85.68 sec
Epoch 27/100: train_loss: 0.05730 | test_loss: 0.04739 | epoch_time: 85.65 sec
Epoch 28/100: train_loss: 0.05650 | test_loss: 0.04632 | epoch_time: 85.63 sec
Epoch 29/100: train_loss: 0.05569 | test_loss: 0.05620 | epoch_time: 85.67 sec
Epoch 30/100: train_loss: 0.05532 | test_loss: 0.04560 | epoch_time: 85.60 sec
Epoch 31/100: train_loss: 0.05400 | test_loss: 0.04447 | epoch_time: 85.67 sec
Epoch 32/100: train_loss: 0.05332 | test_loss: 0.04394 | epoch_time: 85.70 sec
Epoch 33/100: train_loss: 0.05263 | test_loss: 0.04280 | epoch_time: 85.65 sec
Epoch 34/100: train_loss: 0.05198 | test_loss: 0.04320 | epoch_time: 85.65 sec
Epoch 35/100: train_loss: 0.05134 | test_loss: 0.04337 | epoch_time: 85.62 sec
Epoch 36/100: train_loss: 0.05076 | test_loss: 0.04476 | epoch_time: 85.67 sec
Epoch 37/100: train_loss: 0.05011 | test_loss: 0.04290 | epoch_time: 85.63 sec
Epoch 38/100: train_loss: 0.04953 | test_loss: 0.04318 | epoch_time: 85.67 sec
Epoch 39/100: train_loss: 0.04902 | test_loss: 0.04256 | epoch_time: 85.62 sec
Epoch 40/100: train_loss: 0.04847 | test_loss: 0.04183 | epoch_time: 85.65 sec
Epoch 41/100: train_loss: 0.04792 | test_loss: 0.04246 | epoch_time: 85.61 sec
Epoch 42/100: train_loss: 0.04745 | test_loss: 0.04322 | epoch_time: 85.65 sec
Epoch 43/100: train_loss: 0.04702 | test_loss: 0.04717 | epoch_time: 85.64 sec
Epoch 44/100: train_loss: 0.04688 | test_loss: 0.04241 | epoch_time: 85.63 sec
Epoch 45/100: train_loss: 0.04611 | test_loss: 0.04278 | epoch_time: 85.66 sec
Epoch 46/100: train_loss: 0.04585 | test_loss: 0.04494 | epoch_time: 85.77 sec
Epoch 47/100: train_loss: 0.04389 | test_loss: 0.03768 | epoch_time: 85.74 sec
Epoch 48/100: train_loss: 0.04346 | test_loss: 0.03823 | epoch_time: 85.74 sec
Epoch 49/100: train_loss: 0.04328 | test_loss: 0.03788 | epoch_time: 85.75 sec
Epoch 50/100: train_loss: 0.04301 | test_loss: 0.03817 | epoch_time: 85.75 sec
Epoch 51/100: train_loss: 0.04279 | test_loss: 0.03791 | epoch_time: 85.74 sec
Epoch 52/100: train_loss: 0.04257 | test_loss: 0.03778 | epoch_time: 85.76 sec
Epoch 53/100: train_loss: 0.04236 | test_loss: 0.03863 | epoch_time: 85.80 sec
Epoch 54/100: train_loss: 0.04144 | test_loss: 0.03606 | epoch_time: 85.64 sec
Epoch 55/100: train_loss: 0.04120 | test_loss: 0.03628 | epoch_time: 85.64 sec
Epoch 56/100: train_loss: 0.04107 | test_loss: 0.03584 | epoch_time: 85.66 sec
Epoch 57/100: train_loss: 0.04094 | test_loss: 0.03577 | epoch_time: 85.63 sec
Epoch 58/100: train_loss: 0.04085 | test_loss: 0.03721 | epoch_time: 85.65 sec
Epoch 59/100: train_loss: 0.04074 | test_loss: 0.03603 | epoch_time: 85.65 sec
Epoch 60/100: train_loss: 0.04060 | test_loss: 0.03626 | epoch_time: 85.63 sec
