Using device:  cuda

Epoch 1/100: train_loss: 0.04927 | test_loss: 0.01597 | epoch_time: 25.61 sec
Epoch 2/100: train_loss: 0.04023 | test_loss: 0.01188 | epoch_time: 25.52 sec
Epoch 3/100: train_loss: 0.03653 | test_loss: 0.01133 | epoch_time: 25.53 sec
Epoch 4/100: train_loss: 0.03426 | test_loss: 0.00890 | epoch_time: 25.55 sec
Epoch 5/100: train_loss: 0.03251 | test_loss: 0.00835 | epoch_time: 25.57 sec
Epoch 6/100: train_loss: 0.03102 | test_loss: 0.00811 | epoch_time: 25.58 sec
Epoch 7/100: train_loss: 0.02966 | test_loss: 0.00686 | epoch_time: 25.58 sec
Epoch 8/100: train_loss: 0.02836 | test_loss: 0.00687 | epoch_time: 25.59 sec
Epoch 9/100: train_loss: 0.02717 | test_loss: 0.00664 | epoch_time: 25.59 sec
Epoch 10/100: train_loss: 0.02602 | test_loss: 0.00598 | epoch_time: 25.60 sec
Epoch 11/100: train_loss: 0.02491 | test_loss: 0.00618 | epoch_time: 25.60 sec
Epoch 12/100: train_loss: 0.02385 | test_loss: 0.00593 | epoch_time: 25.60 sec
Epoch 13/100: train_loss: 0.02282 | test_loss: 0.00595 | epoch_time: 25.61 sec
Epoch 14/100: train_loss: 0.02186 | test_loss: 0.00576 | epoch_time: 25.61 sec
Epoch 15/100: train_loss: 0.02089 | test_loss: 0.00517 | epoch_time: 25.61 sec
Epoch 16/100: train_loss: 0.01998 | test_loss: 0.00481 | epoch_time: 25.61 sec
Epoch 17/100: train_loss: 0.01911 | test_loss: 0.00489 | epoch_time: 25.61 sec
Epoch 18/100: train_loss: 0.01827 | test_loss: 0.00514 | epoch_time: 25.62 sec
Epoch 19/100: train_loss: 0.01749 | test_loss: 0.00469 | epoch_time: 25.61 sec
Epoch 20/100: train_loss: 0.01676 | test_loss: 0.00531 | epoch_time: 25.62 sec
Epoch 21/100: train_loss: 0.01605 | test_loss: 0.00484 | epoch_time: 25.61 sec
Epoch 22/100: train_loss: 0.01539 | test_loss: 0.00465 | epoch_time: 25.62 sec
Epoch 23/100: train_loss: 0.01475 | test_loss: 0.00479 | epoch_time: 25.61 sec
Epoch 24/100: train_loss: 0.01414 | test_loss: 0.00452 | epoch_time: 25.62 sec
Epoch 25/100: train_loss: 0.01357 | test_loss: 0.00780 | epoch_time: 25.62 sec
Epoch 26/100: train_loss: 0.01307 | test_loss: 0.00406 | epoch_time: 25.62 sec
Epoch 27/100: train_loss: 0.01249 | test_loss: 0.00449 | epoch_time: 25.62 sec
Epoch 28/100: train_loss: 0.01200 | test_loss: 0.00393 | epoch_time: 25.62 sec
Epoch 29/100: train_loss: 0.01150 | test_loss: 0.00402 | epoch_time: 25.62 sec
Epoch 30/100: train_loss: 0.01108 | test_loss: 0.00462 | epoch_time: 25.62 sec
Epoch 31/100: train_loss: 0.01067 | test_loss: 0.00383 | epoch_time: 25.62 sec
Epoch 32/100: train_loss: 0.01025 | test_loss: 0.00387 | epoch_time: 25.62 sec
Epoch 33/100: train_loss: 0.00990 | test_loss: 0.00386 | epoch_time: 25.62 sec
Epoch 34/100: train_loss: 0.00955 | test_loss: 0.00371 | epoch_time: 25.62 sec
Epoch 35/100: train_loss: 0.00922 | test_loss: 0.00358 | epoch_time: 25.62 sec
Epoch 36/100: train_loss: 0.00893 | test_loss: 0.00402 | epoch_time: 25.62 sec
Epoch 37/100: train_loss: 0.00863 | test_loss: 0.00354 | epoch_time: 25.62 sec
Epoch 38/100: train_loss: 0.00836 | test_loss: 0.00376 | epoch_time: 25.63 sec
Epoch 39/100: train_loss: 0.00809 | test_loss: 0.00370 | epoch_time: 25.63 sec
Epoch 40/100: train_loss: 0.00784 | test_loss: 0.00369 | epoch_time: 25.62 sec
Epoch 41/100: train_loss: 0.00760 | test_loss: 0.00457 | epoch_time: 25.62 sec
Epoch 42/100: train_loss: 0.00739 | test_loss: 0.00358 | epoch_time: 25.62 sec
Epoch 43/100: train_loss: 0.00716 | test_loss: 0.00366 | epoch_time: 25.62 sec
Epoch 44/100: train_loss: 0.00679 | test_loss: 0.00295 | epoch_time: 25.62 sec
Epoch 45/100: train_loss: 0.00666 | test_loss: 0.00294 | epoch_time: 25.62 sec
Epoch 46/100: train_loss: 0.00655 | test_loss: 0.00288 | epoch_time: 25.61 sec
Epoch 47/100: train_loss: 0.00643 | test_loss: 0.00307 | epoch_time: 25.62 sec
Epoch 48/100: train_loss: 0.00630 | test_loss: 0.00293 | epoch_time: 25.62 sec
Epoch 49/100: train_loss: 0.00617 | test_loss: 0.00297 | epoch_time: 25.63 sec
Epoch 50/100: train_loss: 0.00603 | test_loss: 0.00293 | epoch_time: 25.62 sec
Epoch 51/100: train_loss: 0.00590 | test_loss: 0.00291 | epoch_time: 25.62 sec
Epoch 52/100: train_loss: 0.00578 | test_loss: 0.00330 | epoch_time: 25.62 sec
Epoch 53/100: train_loss: 0.00560 | test_loss: 0.00353 | epoch_time: 25.63 sec
Epoch 54/100: train_loss: 0.00554 | test_loss: 0.00267 | epoch_time: 25.62 sec
Epoch 55/100: train_loss: 0.00545 | test_loss: 0.00278 | epoch_time: 25.63 sec
Epoch 56/100: train_loss: 0.00539 | test_loss: 0.00270 | epoch_time: 25.62 sec
Epoch 57/100: train_loss: 0.00532 | test_loss: 0.00269 | epoch_time: 25.63 sec
Epoch 58/100: train_loss: 0.00525 | test_loss: 0.00265 | epoch_time: 25.62 sec
Epoch 59/100: train_loss: 0.00518 | test_loss: 0.00264 | epoch_time: 25.63 sec
Epoch 60/100: train_loss: 0.00511 | test_loss: 0.00265 | epoch_time: 25.62 sec
Epoch 61/100: train_loss: 0.00504 | test_loss: 0.00269 | epoch_time: 25.62 sec
Epoch 62/100: train_loss: 0.00497 | test_loss: 0.00272 | epoch_time: 25.62 sec
Epoch 63/100: train_loss: 0.00490 | test_loss: 0.00258 | epoch_time: 25.62 sec
Epoch 64/100: train_loss: 0.00483 | test_loss: 0.00260 | epoch_time: 25.62 sec
Epoch 65/100: train_loss: 0.00477 | test_loss: 0.00261 | epoch_time: 25.62 sec
Epoch 66/100: train_loss: 0.00470 | test_loss: 0.00256 | epoch_time: 25.63 sec
Epoch 67/100: train_loss: 0.00465 | test_loss: 0.00260 | epoch_time: 25.61 sec
Epoch 68/100: train_loss: 0.00459 | test_loss: 0.00338 | epoch_time: 25.63 sec
Epoch 69/100: train_loss: 0.00454 | test_loss: 0.00261 | epoch_time: 25.63 sec
Epoch 70/100: train_loss: 0.00447 | test_loss: 0.00254 | epoch_time: 25.63 sec
Epoch 71/100: train_loss: 0.00441 | test_loss: 0.00258 | epoch_time: 25.61 sec
Epoch 72/100: train_loss: 0.00436 | test_loss: 0.00265 | epoch_time: 25.63 sec
Epoch 73/100: train_loss: 0.00430 | test_loss: 0.00252 | epoch_time: 25.63 sec
Epoch 74/100: train_loss: 0.00425 | test_loss: 0.00273 | epoch_time: 25.62 sec
Epoch 75/100: train_loss: 0.00420 | test_loss: 0.00254 | epoch_time: 25.63 sec
Epoch 76/100: train_loss: 0.00414 | test_loss: 0.00256 | epoch_time: 25.63 sec
Epoch 77/100: train_loss: 0.00409 | test_loss: 0.00257 | epoch_time: 25.62 sec
