Using device:  cuda

Epoch 1/100: train_loss: 0.04948 | test_loss: 0.01618 | epoch_time: 25.93 sec
Epoch 2/100: train_loss: 0.04017 | test_loss: 0.01181 | epoch_time: 25.78 sec
Epoch 3/100: train_loss: 0.03648 | test_loss: 0.01021 | epoch_time: 25.81 sec
Epoch 4/100: train_loss: 0.03413 | test_loss: 0.00919 | epoch_time: 25.79 sec
Epoch 5/100: train_loss: 0.03227 | test_loss: 0.00860 | epoch_time: 25.85 sec
Epoch 6/100: train_loss: 0.03069 | test_loss: 0.00874 | epoch_time: 25.85 sec
Epoch 7/100: train_loss: 0.02926 | test_loss: 0.00748 | epoch_time: 25.83 sec
Epoch 8/100: train_loss: 0.02793 | test_loss: 0.00733 | epoch_time: 25.84 sec
Epoch 9/100: train_loss: 0.02672 | test_loss: 0.00683 | epoch_time: 25.94 sec
Epoch 10/100: train_loss: 0.02554 | test_loss: 0.00654 | epoch_time: 25.78 sec
Epoch 11/100: train_loss: 0.02442 | test_loss: 0.00682 | epoch_time: 25.83 sec
Epoch 12/100: train_loss: 0.02339 | test_loss: 0.00632 | epoch_time: 25.84 sec
Epoch 13/100: train_loss: 0.02238 | test_loss: 0.00632 | epoch_time: 25.91 sec
Epoch 14/100: train_loss: 0.02141 | test_loss: 0.00621 | epoch_time: 25.84 sec
Epoch 15/100: train_loss: 0.02048 | test_loss: 0.00581 | epoch_time: 25.84 sec
Epoch 16/100: train_loss: 0.01958 | test_loss: 0.00548 | epoch_time: 25.85 sec
Epoch 17/100: train_loss: 0.01874 | test_loss: 0.00559 | epoch_time: 25.81 sec
Epoch 18/100: train_loss: 0.01792 | test_loss: 0.00537 | epoch_time: 25.85 sec
Epoch 19/100: train_loss: 0.01714 | test_loss: 0.00567 | epoch_time: 25.84 sec
Epoch 20/100: train_loss: 0.01641 | test_loss: 0.00518 | epoch_time: 25.84 sec
Epoch 21/100: train_loss: 0.01571 | test_loss: 0.00505 | epoch_time: 25.85 sec
Epoch 22/100: train_loss: 0.01505 | test_loss: 0.00512 | epoch_time: 25.85 sec
Epoch 23/100: train_loss: 0.01443 | test_loss: 0.00556 | epoch_time: 25.85 sec
Epoch 24/100: train_loss: 0.01383 | test_loss: 0.00522 | epoch_time: 25.85 sec
Epoch 25/100: train_loss: 0.01327 | test_loss: 0.00664 | epoch_time: 25.87 sec
Epoch 26/100: train_loss: 0.01277 | test_loss: 0.00464 | epoch_time: 25.86 sec
Epoch 27/100: train_loss: 0.01222 | test_loss: 0.00556 | epoch_time: 25.86 sec
Epoch 28/100: train_loss: 0.01177 | test_loss: 0.00445 | epoch_time: 25.82 sec
Epoch 29/100: train_loss: 0.01130 | test_loss: 0.00460 | epoch_time: 25.85 sec
Epoch 30/100: train_loss: 0.01090 | test_loss: 0.00484 | epoch_time: 25.80 sec
Epoch 31/100: train_loss: 0.01052 | test_loss: 0.00443 | epoch_time: 25.83 sec
Epoch 32/100: train_loss: 0.01015 | test_loss: 0.00438 | epoch_time: 25.86 sec
Epoch 33/100: train_loss: 0.00983 | test_loss: 0.00417 | epoch_time: 25.85 sec
Epoch 34/100: train_loss: 0.00953 | test_loss: 0.00422 | epoch_time: 25.85 sec
Epoch 35/100: train_loss: 0.00924 | test_loss: 0.00416 | epoch_time: 25.85 sec
Epoch 36/100: train_loss: 0.00898 | test_loss: 0.00440 | epoch_time: 25.86 sec
Epoch 37/100: train_loss: 0.00871 | test_loss: 0.00434 | epoch_time: 25.85 sec
Epoch 38/100: train_loss: 0.00846 | test_loss: 0.00458 | epoch_time: 25.86 sec
Epoch 39/100: train_loss: 0.00822 | test_loss: 0.00395 | epoch_time: 25.84 sec
Epoch 40/100: train_loss: 0.00799 | test_loss: 0.00403 | epoch_time: 25.85 sec
Epoch 41/100: train_loss: 0.00779 | test_loss: 0.00465 | epoch_time: 25.85 sec
Epoch 42/100: train_loss: 0.00759 | test_loss: 0.00402 | epoch_time: 25.85 sec
Epoch 43/100: train_loss: 0.00737 | test_loss: 0.00386 | epoch_time: 25.85 sec
Epoch 44/100: train_loss: 0.00718 | test_loss: 0.00409 | epoch_time: 25.86 sec
Epoch 45/100: train_loss: 0.00700 | test_loss: 0.00390 | epoch_time: 25.84 sec
Epoch 46/100: train_loss: 0.00683 | test_loss: 0.00372 | epoch_time: 25.86 sec
Epoch 47/100: train_loss: 0.00666 | test_loss: 0.00407 | epoch_time: 25.85 sec
Epoch 48/100: train_loss: 0.00649 | test_loss: 0.00370 | epoch_time: 25.85 sec
Epoch 49/100: train_loss: 0.00635 | test_loss: 0.00368 | epoch_time: 25.86 sec
Epoch 50/100: train_loss: 0.00620 | test_loss: 0.00409 | epoch_time: 25.86 sec
Epoch 51/100: train_loss: 0.00607 | test_loss: 0.00442 | epoch_time: 25.86 sec
Epoch 52/100: train_loss: 0.00593 | test_loss: 0.00395 | epoch_time: 25.96 sec
Epoch 53/100: train_loss: 0.00582 | test_loss: 0.01072 | epoch_time: 25.86 sec
Epoch 54/100: train_loss: 0.00588 | test_loss: 0.00348 | epoch_time: 25.85 sec
Epoch 55/100: train_loss: 0.00553 | test_loss: 0.00441 | epoch_time: 25.85 sec
Epoch 56/100: train_loss: 0.00543 | test_loss: 0.00447 | epoch_time: 25.87 sec
Epoch 57/100: train_loss: 0.00533 | test_loss: 0.00401 | epoch_time: 25.85 sec
Epoch 58/100: train_loss: 0.00522 | test_loss: 0.00331 | epoch_time: 25.86 sec
