Using device:  cuda

Epoch 1/100: train_loss: 0.05290 | test_loss: 0.01829 | epoch_time: 26.19 sec
Epoch 2/100: train_loss: 0.04502 | test_loss: 0.01788 | epoch_time: 25.89 sec
Epoch 3/100: train_loss: 0.04240 | test_loss: 0.01690 | epoch_time: 26.04 sec
Epoch 4/100: train_loss: 0.04071 | test_loss: 0.01630 | epoch_time: 26.18 sec
Epoch 5/100: train_loss: 0.03917 | test_loss: 0.01343 | epoch_time: 26.07 sec
Epoch 6/100: train_loss: 0.03798 | test_loss: 0.01330 | epoch_time: 26.12 sec
Epoch 7/100: train_loss: 0.03702 | test_loss: 0.01517 | epoch_time: 25.96 sec
Epoch 8/100: train_loss: 0.03609 | test_loss: 0.01258 | epoch_time: 26.09 sec
Epoch 9/100: train_loss: 0.03512 | test_loss: 0.01255 | epoch_time: 26.07 sec
Epoch 10/100: train_loss: 0.03452 | test_loss: 0.01162 | epoch_time: 26.10 sec
Epoch 11/100: train_loss: 0.03372 | test_loss: 0.01158 | epoch_time: 25.98 sec
Epoch 12/100: train_loss: 0.03297 | test_loss: 0.00979 | epoch_time: 26.10 sec
Epoch 13/100: train_loss: 0.03229 | test_loss: 0.01047 | epoch_time: 26.07 sec
Epoch 14/100: train_loss: 0.03163 | test_loss: 0.00880 | epoch_time: 26.10 sec
Epoch 15/100: train_loss: 0.03104 | test_loss: 0.01021 | epoch_time: 26.09 sec
Epoch 16/100: train_loss: 0.03041 | test_loss: 0.00851 | epoch_time: 26.08 sec
Epoch 17/100: train_loss: 0.02979 | test_loss: 0.00965 | epoch_time: 26.00 sec
Epoch 18/100: train_loss: 0.02925 | test_loss: 0.00828 | epoch_time: 26.10 sec
Epoch 19/100: train_loss: 0.02883 | test_loss: 0.00913 | epoch_time: 26.08 sec
Epoch 20/100: train_loss: 0.02828 | test_loss: 0.00822 | epoch_time: 26.18 sec
Epoch 21/100: train_loss: 0.02776 | test_loss: 0.00793 | epoch_time: 26.07 sec
Epoch 22/100: train_loss: 0.02734 | test_loss: 0.00917 | epoch_time: 26.09 sec
Epoch 23/100: train_loss: 0.02689 | test_loss: 0.00914 | epoch_time: 26.04 sec
Epoch 24/100: train_loss: 0.02643 | test_loss: 0.00710 | epoch_time: 26.07 sec
Epoch 25/100: train_loss: 0.02598 | test_loss: 0.00841 | epoch_time: 26.09 sec
Epoch 26/100: train_loss: 0.02550 | test_loss: 0.00948 | epoch_time: 26.06 sec
Epoch 27/100: train_loss: 0.02523 | test_loss: 0.00771 | epoch_time: 26.06 sec
Epoch 28/100: train_loss: 0.02482 | test_loss: 0.00714 | epoch_time: 26.09 sec
Epoch 29/100: train_loss: 0.02444 | test_loss: 0.00792 | epoch_time: 26.08 sec
Epoch 30/100: train_loss: 0.02413 | test_loss: 0.00720 | epoch_time: 26.09 sec
Epoch 31/100: train_loss: 0.02330 | test_loss: 0.00745 | epoch_time: 26.08 sec
Epoch 32/100: train_loss: 0.02289 | test_loss: 0.00685 | epoch_time: 26.14 sec
Epoch 33/100: train_loss: 0.02272 | test_loss: 0.00736 | epoch_time: 26.00 sec
Epoch 34/100: train_loss: 0.02255 | test_loss: 0.00708 | epoch_time: 26.09 sec
Epoch 35/100: train_loss: 0.02238 | test_loss: 0.00651 | epoch_time: 26.11 sec
Epoch 36/100: train_loss: 0.02227 | test_loss: 0.00712 | epoch_time: 26.09 sec
Epoch 37/100: train_loss: 0.02208 | test_loss: 0.00734 | epoch_time: 26.10 sec
Epoch 38/100: train_loss: 0.02191 | test_loss: 0.00713 | epoch_time: 26.07 sec
Epoch 39/100: train_loss: 0.02178 | test_loss: 0.00674 | epoch_time: 26.08 sec
Epoch 40/100: train_loss: 0.02159 | test_loss: 0.00649 | epoch_time: 26.07 sec
Epoch 41/100: train_loss: 0.02141 | test_loss: 0.00659 | epoch_time: 26.07 sec
Epoch 42/100: train_loss: 0.02132 | test_loss: 0.00658 | epoch_time: 26.10 sec
Epoch 43/100: train_loss: 0.02109 | test_loss: 0.00651 | epoch_time: 26.10 sec
Epoch 44/100: train_loss: 0.02089 | test_loss: 0.00655 | epoch_time: 26.12 sec
