Using device:  cuda

Epoch 1/100: train_loss: 0.04933 | test_loss: 0.01584 | epoch_time: 26.06 sec
Epoch 2/100: train_loss: 0.04014 | test_loss: 0.01285 | epoch_time: 25.77 sec
Epoch 3/100: train_loss: 0.03723 | test_loss: 0.01303 | epoch_time: 25.80 sec
Epoch 4/100: train_loss: 0.03526 | test_loss: 0.01165 | epoch_time: 25.83 sec
Epoch 5/100: train_loss: 0.03366 | test_loss: 0.01104 | epoch_time: 25.86 sec
Epoch 6/100: train_loss: 0.03227 | test_loss: 0.01329 | epoch_time: 25.83 sec
Epoch 7/100: train_loss: 0.03102 | test_loss: 0.01093 | epoch_time: 25.83 sec
Epoch 8/100: train_loss: 0.02980 | test_loss: 0.01105 | epoch_time: 25.81 sec
Epoch 9/100: train_loss: 0.02867 | test_loss: 0.01124 | epoch_time: 25.84 sec
Epoch 10/100: train_loss: 0.02756 | test_loss: 0.01115 | epoch_time: 25.81 sec
Epoch 11/100: train_loss: 0.02651 | test_loss: 0.01191 | epoch_time: 25.82 sec
Epoch 12/100: train_loss: 0.02553 | test_loss: 0.01245 | epoch_time: 25.80 sec
Epoch 13/100: train_loss: 0.02459 | test_loss: 0.01203 | epoch_time: 25.99 sec
Epoch 14/100: train_loss: 0.02360 | test_loss: 0.01227 | epoch_time: 25.83 sec
Epoch 15/100: train_loss: 0.02312 | test_loss: 0.01193 | epoch_time: 25.80 sec
Epoch 16/100: train_loss: 0.02263 | test_loss: 0.01219 | epoch_time: 25.97 sec
Epoch 17/100: train_loss: 0.02212 | test_loss: 0.01253 | epoch_time: 25.83 sec
Epoch 18/100: train_loss: 0.02161 | test_loss: 0.01298 | epoch_time: 25.80 sec
Epoch 19/100: train_loss: 0.02111 | test_loss: 0.01293 | epoch_time: 25.99 sec
Epoch 20/100: train_loss: 0.02057 | test_loss: 0.01314 | epoch_time: 25.81 sec
Epoch 21/100: train_loss: 0.02031 | test_loss: 0.01295 | epoch_time: 25.84 sec
Epoch 22/100: train_loss: 0.02004 | test_loss: 0.01352 | epoch_time: 25.83 sec
Epoch 23/100: train_loss: 0.01976 | test_loss: 0.01388 | epoch_time: 25.81 sec
Epoch 24/100: train_loss: 0.01948 | test_loss: 0.01393 | epoch_time: 25.81 sec
Epoch 25/100: train_loss: 0.01920 | test_loss: 0.01533 | epoch_time: 25.92 sec
Epoch 26/100: train_loss: 0.01892 | test_loss: 0.01390 | epoch_time: 25.82 sec
Epoch 27/100: train_loss: 0.01875 | test_loss: 0.01412 | epoch_time: 25.83 sec
Epoch 28/100: train_loss: 0.01860 | test_loss: 0.01425 | epoch_time: 25.80 sec
Epoch 29/100: train_loss: 0.01845 | test_loss: 0.01451 | epoch_time: 25.87 sec
Epoch 30/100: train_loss: 0.01831 | test_loss: 0.01486 | epoch_time: 25.98 sec
Epoch 31/100: train_loss: 0.01815 | test_loss: 0.01473 | epoch_time: 25.83 sec
Epoch 32/100: train_loss: 0.01799 | test_loss: 0.01471 | epoch_time: 25.81 sec
Epoch 33/100: train_loss: 0.01792 | test_loss: 0.01476 | epoch_time: 26.00 sec
Epoch 34/100: train_loss: 0.01784 | test_loss: 0.01495 | epoch_time: 25.80 sec
Epoch 35/100: train_loss: 0.01777 | test_loss: 0.01493 | epoch_time: 25.91 sec
Epoch 36/100: train_loss: 0.01769 | test_loss: 0.01513 | epoch_time: 25.94 sec
Epoch 37/100: train_loss: 0.01761 | test_loss: 0.01542 | epoch_time: 25.80 sec
Epoch 38/100: train_loss: 0.01753 | test_loss: 0.01521 | epoch_time: 25.96 sec
Epoch 39/100: train_loss: 0.01749 | test_loss: 0.01527 | epoch_time: 25.81 sec
Epoch 40/100: train_loss: 0.01745 | test_loss: 0.01536 | epoch_time: 25.90 sec
Epoch 41/100: train_loss: 0.01741 | test_loss: 0.01546 | epoch_time: 25.95 sec
Epoch 42/100: train_loss: 0.01737 | test_loss: 0.01534 | epoch_time: 25.82 sec
Epoch 43/100: train_loss: 0.01733 | test_loss: 0.01539 | epoch_time: 25.81 sec
Epoch 44/100: train_loss: 0.01728 | test_loss: 0.01546 | epoch_time: 25.98 sec
Epoch 45/100: train_loss: 0.01727 | test_loss: 0.01549 | epoch_time: 25.81 sec
Epoch 46/100: train_loss: 0.01725 | test_loss: 0.01550 | epoch_time: 25.81 sec
Epoch 47/100: train_loss: 0.01722 | test_loss: 0.01554 | epoch_time: 25.94 sec
Epoch 48/100: train_loss: 0.01720 | test_loss: 0.01556 | epoch_time: 25.83 sec
Epoch 49/100: train_loss: 0.01719 | test_loss: 0.01559 | epoch_time: 25.81 sec
Epoch 50/100: train_loss: 0.01716 | test_loss: 0.01559 | epoch_time: 25.82 sec
Epoch 51/100: train_loss: 0.01716 | test_loss: 0.01567 | epoch_time: 25.83 sec
Epoch 52/100: train_loss: 0.01714 | test_loss: 0.01562 | epoch_time: 25.82 sec
Epoch 53/100: train_loss: 0.01714 | test_loss: 0.01568 | epoch_time: 25.83 sec
Epoch 54/100: train_loss: 0.01712 | test_loss: 0.01565 | epoch_time: 25.82 sec
Epoch 55/100: train_loss: 0.01711 | test_loss: 0.01565 | epoch_time: 25.82 sec
Epoch 56/100: train_loss: 0.01710 | test_loss: 0.01567 | epoch_time: 25.82 sec
Epoch 57/100: train_loss: 0.01710 | test_loss: 0.01567 | epoch_time: 25.82 sec
Epoch 58/100: train_loss: 0.01709 | test_loss: 0.01569 | epoch_time: 25.91 sec
Epoch 59/100: train_loss: 0.01708 | test_loss: 0.01568 | epoch_time: 25.87 sec
Epoch 60/100: train_loss: 0.01708 | test_loss: 0.01571 | epoch_time: 25.82 sec
Epoch 61/100: train_loss: 0.01707 | test_loss: 0.01571 | epoch_time: 25.82 sec
Epoch 62/100: train_loss: 0.01706 | test_loss: 0.01570 | epoch_time: 25.82 sec
Epoch 63/100: train_loss: 0.01706 | test_loss: 0.01572 | epoch_time: 25.87 sec
Epoch 64/100: train_loss: 0.01706 | test_loss: 0.01572 | epoch_time: 25.94 sec
Epoch 65/100: train_loss: 0.01706 | test_loss: 0.01571 | epoch_time: 25.83 sec
Epoch 66/100: train_loss: 0.01706 | test_loss: 0.01572 | epoch_time: 25.81 sec
Epoch 67/100: train_loss: 0.01705 | test_loss: 0.01574 | epoch_time: 25.95 sec
Epoch 68/100: train_loss: 0.01706 | test_loss: 0.01572 | epoch_time: 25.82 sec
Epoch 69/100: train_loss: 0.01705 | test_loss: 0.01573 | epoch_time: 25.85 sec
Epoch 70/100: train_loss: 0.01705 | test_loss: 0.01573 | epoch_time: 25.83 sec
Epoch 71/100: train_loss: 0.01704 | test_loss: 0.01574 | epoch_time: 25.82 sec
Epoch 72/100: train_loss: 0.01705 | test_loss: 0.01574 | epoch_time: 25.81 sec
Epoch 73/100: train_loss: 0.01704 | test_loss: 0.01572 | epoch_time: 25.96 sec
Epoch 74/100: train_loss: 0.01704 | test_loss: 0.01575 | epoch_time: 25.81 sec
Epoch 75/100: train_loss: 0.01703 | test_loss: 0.01575 | epoch_time: 25.87 sec
Epoch 76/100: train_loss: 0.01703 | test_loss: 0.01575 | epoch_time: 25.81 sec
Epoch 77/100: train_loss: 0.01703 | test_loss: 0.01575 | epoch_time: 25.83 sec
Epoch 78/100: train_loss: 0.01703 | test_loss: 0.01576 | epoch_time: 25.82 sec
Epoch 79/100: train_loss: 0.01702 | test_loss: 0.01577 | epoch_time: 25.82 sec
Epoch 80/100: train_loss: 0.01702 | test_loss: 0.01578 | epoch_time: 25.84 sec
Epoch 81/100: train_loss: 0.01702 | test_loss: 0.01576 | epoch_time: 25.82 sec
Epoch 82/100: train_loss: 0.01701 | test_loss: 0.01577 | epoch_time: 25.81 sec
Epoch 83/100: train_loss: 0.01701 | test_loss: 0.01575 | epoch_time: 25.89 sec
Epoch 84/100: train_loss: 0.01701 | test_loss: 0.01577 | epoch_time: 25.80 sec
Epoch 85/100: train_loss: 0.01701 | test_loss: 0.01581 | epoch_time: 26.00 sec
Epoch 86/100: train_loss: 0.01701 | test_loss: 0.01578 | epoch_time: 25.80 sec
Epoch 87/100: train_loss: 0.01700 | test_loss: 0.01579 | epoch_time: 26.00 sec
