Using device:  cuda

Epoch 1/100: train_loss: 0.13876 | test_loss: 0.08613 | epoch_time: 26.07 sec
Epoch 2/100: train_loss: 0.10786 | test_loss: 0.07814 | epoch_time: 25.48 sec
Epoch 3/100: train_loss: 0.10099 | test_loss: 0.07349 | epoch_time: 25.49 sec
Epoch 4/100: train_loss: 0.09629 | test_loss: 0.06931 | epoch_time: 25.49 sec
Epoch 5/100: train_loss: 0.09251 | test_loss: 0.06631 | epoch_time: 25.69 sec
Epoch 6/100: train_loss: 0.08902 | test_loss: 0.06375 | epoch_time: 25.53 sec
Epoch 7/100: train_loss: 0.08584 | test_loss: 0.06071 | epoch_time: 25.54 sec
Epoch 8/100: train_loss: 0.08290 | test_loss: 0.05991 | epoch_time: 25.55 sec
Epoch 9/100: train_loss: 0.08063 | test_loss: 0.05683 | epoch_time: 25.54 sec
Epoch 10/100: train_loss: 0.07853 | test_loss: 0.05524 | epoch_time: 25.55 sec
Epoch 11/100: train_loss: 0.07671 | test_loss: 0.05452 | epoch_time: 25.55 sec
Epoch 12/100: train_loss: 0.07493 | test_loss: 0.05440 | epoch_time: 25.55 sec
Epoch 13/100: train_loss: 0.07321 | test_loss: 0.05293 | epoch_time: 25.56 sec
Epoch 14/100: train_loss: 0.07153 | test_loss: 0.05224 | epoch_time: 25.55 sec
Epoch 15/100: train_loss: 0.07000 | test_loss: 0.05062 | epoch_time: 25.55 sec
Epoch 16/100: train_loss: 0.06850 | test_loss: 0.05007 | epoch_time: 25.58 sec
Epoch 17/100: train_loss: 0.06702 | test_loss: 0.04978 | epoch_time: 25.56 sec
Epoch 18/100: train_loss: 0.06568 | test_loss: 0.04974 | epoch_time: 25.56 sec
Epoch 19/100: train_loss: 0.06430 | test_loss: 0.04883 | epoch_time: 25.57 sec
Epoch 20/100: train_loss: 0.06296 | test_loss: 0.04791 | epoch_time: 25.56 sec
Epoch 21/100: train_loss: 0.06178 | test_loss: 0.04752 | epoch_time: 25.67 sec
Epoch 22/100: train_loss: 0.06068 | test_loss: 0.04725 | epoch_time: 25.57 sec
Epoch 23/100: train_loss: 0.05948 | test_loss: 0.04657 | epoch_time: 25.57 sec
Epoch 24/100: train_loss: 0.05839 | test_loss: 0.04531 | epoch_time: 25.57 sec
Epoch 25/100: train_loss: 0.05746 | test_loss: 0.05418 | epoch_time: 25.57 sec
Epoch 26/100: train_loss: 0.05709 | test_loss: 0.04503 | epoch_time: 25.58 sec
Epoch 27/100: train_loss: 0.05552 | test_loss: 0.04622 | epoch_time: 25.57 sec
Epoch 28/100: train_loss: 0.05470 | test_loss: 0.04566 | epoch_time: 25.58 sec
Epoch 29/100: train_loss: 0.05376 | test_loss: 0.04465 | epoch_time: 25.71 sec
Epoch 30/100: train_loss: 0.05293 | test_loss: 0.04357 | epoch_time: 25.58 sec
Epoch 31/100: train_loss: 0.05205 | test_loss: 0.04298 | epoch_time: 25.57 sec
Epoch 32/100: train_loss: 0.05132 | test_loss: 0.04298 | epoch_time: 25.56 sec
Epoch 33/100: train_loss: 0.05059 | test_loss: 0.04152 | epoch_time: 25.73 sec
Epoch 34/100: train_loss: 0.04979 | test_loss: 0.04161 | epoch_time: 25.57 sec
Epoch 35/100: train_loss: 0.04920 | test_loss: 0.04125 | epoch_time: 25.56 sec
Epoch 36/100: train_loss: 0.04860 | test_loss: 0.04530 | epoch_time: 25.57 sec
Epoch 37/100: train_loss: 0.04803 | test_loss: 0.04174 | epoch_time: 25.57 sec
Epoch 38/100: train_loss: 0.04740 | test_loss: 0.04111 | epoch_time: 25.56 sec
Epoch 39/100: train_loss: 0.04681 | test_loss: 0.04069 | epoch_time: 25.58 sec
Epoch 40/100: train_loss: 0.04629 | test_loss: 0.04001 | epoch_time: 25.57 sec
Epoch 41/100: train_loss: 0.04575 | test_loss: 0.04068 | epoch_time: 25.58 sec
Epoch 42/100: train_loss: 0.04522 | test_loss: 0.04047 | epoch_time: 25.57 sec
Epoch 43/100: train_loss: 0.04473 | test_loss: 0.04123 | epoch_time: 25.67 sec
Epoch 44/100: train_loss: 0.04428 | test_loss: 0.04017 | epoch_time: 25.57 sec
Epoch 45/100: train_loss: 0.04376 | test_loss: 0.04297 | epoch_time: 25.67 sec
Epoch 46/100: train_loss: 0.04353 | test_loss: 0.04018 | epoch_time: 25.57 sec
Epoch 47/100: train_loss: 0.04167 | test_loss: 0.03673 | epoch_time: 25.57 sec
Epoch 48/100: train_loss: 0.04130 | test_loss: 0.03628 | epoch_time: 25.66 sec
Epoch 49/100: train_loss: 0.04107 | test_loss: 0.03648 | epoch_time: 25.58 sec
Epoch 50/100: train_loss: 0.04081 | test_loss: 0.03651 | epoch_time: 25.58 sec
Epoch 51/100: train_loss: 0.04058 | test_loss: 0.03615 | epoch_time: 25.57 sec
Epoch 52/100: train_loss: 0.04032 | test_loss: 0.03632 | epoch_time: 25.66 sec
Epoch 53/100: train_loss: 0.04015 | test_loss: 0.03760 | epoch_time: 25.57 sec
Epoch 54/100: train_loss: 0.03998 | test_loss: 0.03602 | epoch_time: 25.58 sec
Epoch 55/100: train_loss: 0.03959 | test_loss: 0.03595 | epoch_time: 25.58 sec
Epoch 56/100: train_loss: 0.03934 | test_loss: 0.03566 | epoch_time: 25.58 sec
Epoch 57/100: train_loss: 0.03911 | test_loss: 0.03574 | epoch_time: 25.58 sec
Epoch 58/100: train_loss: 0.03890 | test_loss: 0.03550 | epoch_time: 25.58 sec
Epoch 59/100: train_loss: 0.03869 | test_loss: 0.03556 | epoch_time: 25.58 sec
Epoch 60/100: train_loss: 0.03849 | test_loss: 0.03587 | epoch_time: 25.58 sec
Epoch 61/100: train_loss: 0.03818 | test_loss: 0.03519 | epoch_time: 25.58 sec
Epoch 62/100: train_loss: 0.03794 | test_loss: 0.03520 | epoch_time: 25.59 sec
Epoch 63/100: train_loss: 0.03775 | test_loss: 0.03527 | epoch_time: 25.58 sec
Epoch 64/100: train_loss: 0.03753 | test_loss: 0.03499 | epoch_time: 25.57 sec
Epoch 65/100: train_loss: 0.03730 | test_loss: 0.03494 | epoch_time: 25.58 sec
Epoch 66/100: train_loss: 0.03715 | test_loss: 0.03522 | epoch_time: 25.58 sec
Epoch 67/100: train_loss: 0.03699 | test_loss: 0.03511 | epoch_time: 25.57 sec
Epoch 68/100: train_loss: 0.03676 | test_loss: 0.03569 | epoch_time: 25.59 sec
Epoch 69/100: train_loss: 0.03653 | test_loss: 0.03490 | epoch_time: 25.58 sec
Epoch 70/100: train_loss: 0.03632 | test_loss: 0.03551 | epoch_time: 25.58 sec
Epoch 71/100: train_loss: 0.03615 | test_loss: 0.03454 | epoch_time: 25.58 sec
Epoch 72/100: train_loss: 0.03593 | test_loss: 0.03530 | epoch_time: 25.58 sec
Epoch 73/100: train_loss: 0.03571 | test_loss: 0.03425 | epoch_time: 25.57 sec
Epoch 74/100: train_loss: 0.03549 | test_loss: 0.03392 | epoch_time: 25.58 sec
Epoch 75/100: train_loss: 0.03534 | test_loss: 0.03472 | epoch_time: 25.58 sec
Epoch 76/100: train_loss: 0.03518 | test_loss: 0.03391 | epoch_time: 25.58 sec
Epoch 77/100: train_loss: 0.03493 | test_loss: 0.03411 | epoch_time: 25.58 sec
Epoch 78/100: train_loss: 0.03483 | test_loss: 0.03513 | epoch_time: 25.58 sec
