Using device:  cuda

Epoch 1/100: train_loss: 0.13326 | test_loss: 0.08619 | epoch_time: 87.05 sec
Epoch 2/100: train_loss: 0.10899 | test_loss: 0.07854 | epoch_time: 85.84 sec
Epoch 3/100: train_loss: 0.10296 | test_loss: 0.07518 | epoch_time: 85.81 sec
Epoch 4/100: train_loss: 0.09857 | test_loss: 0.07075 | epoch_time: 85.78 sec
Epoch 5/100: train_loss: 0.09495 | test_loss: 0.06892 | epoch_time: 85.83 sec
Epoch 6/100: train_loss: 0.09182 | test_loss: 0.06769 | epoch_time: 85.79 sec
Epoch 7/100: train_loss: 0.08903 | test_loss: 0.06628 | epoch_time: 85.76 sec
Epoch 8/100: train_loss: 0.08630 | test_loss: 0.06343 | epoch_time: 85.82 sec
Epoch 9/100: train_loss: 0.08402 | test_loss: 0.06064 | epoch_time: 85.77 sec
Epoch 10/100: train_loss: 0.08182 | test_loss: 0.05830 | epoch_time: 85.79 sec
Epoch 11/100: train_loss: 0.07988 | test_loss: 0.05848 | epoch_time: 85.82 sec
Epoch 12/100: train_loss: 0.07812 | test_loss: 0.05675 | epoch_time: 85.80 sec
Epoch 13/100: train_loss: 0.07641 | test_loss: 0.05661 | epoch_time: 85.76 sec
Epoch 14/100: train_loss: 0.07479 | test_loss: 0.05457 | epoch_time: 85.80 sec
Epoch 15/100: train_loss: 0.07327 | test_loss: 0.05349 | epoch_time: 85.82 sec
Epoch 16/100: train_loss: 0.07180 | test_loss: 0.05331 | epoch_time: 85.77 sec
Epoch 17/100: train_loss: 0.07039 | test_loss: 0.05242 | epoch_time: 85.80 sec
Epoch 18/100: train_loss: 0.06921 | test_loss: 0.05161 | epoch_time: 86.01 sec
Epoch 19/100: train_loss: 0.06782 | test_loss: 0.05036 | epoch_time: 85.97 sec
Epoch 20/100: train_loss: 0.06654 | test_loss: 0.05078 | epoch_time: 85.94 sec
Epoch 21/100: train_loss: 0.06546 | test_loss: 0.04942 | epoch_time: 85.94 sec
Epoch 22/100: train_loss: 0.06440 | test_loss: 0.05041 | epoch_time: 85.88 sec
Epoch 23/100: train_loss: 0.06326 | test_loss: 0.04796 | epoch_time: 85.96 sec
Epoch 24/100: train_loss: 0.06220 | test_loss: 0.04754 | epoch_time: 85.95 sec
Epoch 25/100: train_loss: 0.06125 | test_loss: 0.04880 | epoch_time: 85.96 sec
Epoch 26/100: train_loss: 0.06047 | test_loss: 0.04796 | epoch_time: 86.00 sec
Epoch 27/100: train_loss: 0.05946 | test_loss: 0.04815 | epoch_time: 85.97 sec
Epoch 28/100: train_loss: 0.05860 | test_loss: 0.04779 | epoch_time: 85.96 sec
Epoch 29/100: train_loss: 0.05781 | test_loss: 0.04893 | epoch_time: 85.94 sec
Epoch 30/100: train_loss: 0.05698 | test_loss: 0.04662 | epoch_time: 85.96 sec
Epoch 31/100: train_loss: 0.05600 | test_loss: 0.04592 | epoch_time: 85.97 sec
Epoch 32/100: train_loss: 0.05523 | test_loss: 0.04501 | epoch_time: 85.97 sec
Epoch 33/100: train_loss: 0.05448 | test_loss: 0.04444 | epoch_time: 85.92 sec
Epoch 34/100: train_loss: 0.05374 | test_loss: 0.04444 | epoch_time: 85.89 sec
Epoch 35/100: train_loss: 0.05307 | test_loss: 0.04418 | epoch_time: 85.96 sec
Epoch 36/100: train_loss: 0.05239 | test_loss: 0.04534 | epoch_time: 85.91 sec
Epoch 37/100: train_loss: 0.05175 | test_loss: 0.04468 | epoch_time: 85.90 sec
Epoch 38/100: train_loss: 0.05109 | test_loss: 0.04453 | epoch_time: 85.95 sec
Epoch 39/100: train_loss: 0.05045 | test_loss: 0.04365 | epoch_time: 85.95 sec
Epoch 40/100: train_loss: 0.04988 | test_loss: 0.04364 | epoch_time: 85.89 sec
Epoch 41/100: train_loss: 0.04928 | test_loss: 0.04427 | epoch_time: 85.82 sec
Epoch 42/100: train_loss: 0.04876 | test_loss: 0.04450 | epoch_time: 85.83 sec
Epoch 43/100: train_loss: 0.04829 | test_loss: 0.04779 | epoch_time: 85.80 sec
Epoch 44/100: train_loss: 0.04793 | test_loss: 0.04305 | epoch_time: 85.81 sec
Epoch 45/100: train_loss: 0.04720 | test_loss: 0.04476 | epoch_time: 85.87 sec
Epoch 46/100: train_loss: 0.04688 | test_loss: 0.04497 | epoch_time: 85.81 sec
Epoch 47/100: train_loss: 0.04642 | test_loss: 0.04171 | epoch_time: 85.86 sec
Epoch 48/100: train_loss: 0.04579 | test_loss: 0.04243 | epoch_time: 85.82 sec
Epoch 49/100: train_loss: 0.04530 | test_loss: 0.04264 | epoch_time: 85.83 sec
Epoch 50/100: train_loss: 0.04486 | test_loss: 0.04147 | epoch_time: 85.79 sec
Epoch 51/100: train_loss: 0.04440 | test_loss: 0.04141 | epoch_time: 85.79 sec
Epoch 52/100: train_loss: 0.04401 | test_loss: 0.04103 | epoch_time: 85.84 sec
Epoch 53/100: train_loss: 0.04368 | test_loss: 0.04325 | epoch_time: 85.90 sec
Epoch 54/100: train_loss: 0.04343 | test_loss: 0.04122 | epoch_time: 85.85 sec
Epoch 55/100: train_loss: 0.04282 | test_loss: 0.04204 | epoch_time: 85.83 sec
Epoch 56/100: train_loss: 0.04245 | test_loss: 0.04017 | epoch_time: 85.84 sec
Epoch 57/100: train_loss: 0.04212 | test_loss: 0.04033 | epoch_time: 85.84 sec
Epoch 58/100: train_loss: 0.04181 | test_loss: 0.04073 | epoch_time: 85.84 sec
Epoch 59/100: train_loss: 0.04145 | test_loss: 0.04089 | epoch_time: 85.90 sec
Epoch 60/100: train_loss: 0.04119 | test_loss: 0.04161 | epoch_time: 85.87 sec
Epoch 61/100: train_loss: 0.04081 | test_loss: 0.04180 | epoch_time: 85.76 sec
Epoch 62/100: train_loss: 0.04060 | test_loss: 0.04176 | epoch_time: 85.90 sec
Epoch 63/100: train_loss: 0.03902 | test_loss: 0.03840 | epoch_time: 85.92 sec
Epoch 64/100: train_loss: 0.03870 | test_loss: 0.03799 | epoch_time: 85.94 sec
Epoch 65/100: train_loss: 0.03855 | test_loss: 0.03887 | epoch_time: 85.96 sec
Epoch 66/100: train_loss: 0.03843 | test_loss: 0.03802 | epoch_time: 85.94 sec
Epoch 67/100: train_loss: 0.03828 | test_loss: 0.03846 | epoch_time: 85.92 sec
Epoch 68/100: train_loss: 0.03812 | test_loss: 0.03786 | epoch_time: 85.94 sec
Epoch 69/100: train_loss: 0.03789 | test_loss: 0.03786 | epoch_time: 85.94 sec
Epoch 70/100: train_loss: 0.03771 | test_loss: 0.03846 | epoch_time: 85.97 sec
Epoch 71/100: train_loss: 0.03760 | test_loss: 0.03810 | epoch_time: 86.01 sec
